INFO  | ??:??:?? 7 [GPS] getFromRadio=STATE_SEND_UIDATA
DEBUG | ??:??:?? 7 [GPS] Send My NodeInfo
DEBUG | ??:??:?? 7 [GPS] Send device metadata
DEBUG | ??:??:?? 7 [GPS] Send channels 8
DEBUG | ??:??:?? 7 [GPS] Send config: device
DEBUG | ??:??:?? 7 [GPS] Send config: position
DEBUG | ??:??:?? 7 [GPS] Send config: power
DEBUG | ??:??:?? 7 [GPS] Send config: network
DEBUG | ??:??:?? 7 [GPS] Send config: display
DEBUG | ??:??:?? 8 [GPS] Send config: lora
DEBUG | ??:??:?? 8 [GPS] Send config: bluetooth
DEBUG | ??:??:?? 8 [GPS] Send config: security
DEBUG | ??:??:?? 8 [GPS] Send config: sessionkey
DEBUG | ??:??:?? 8 [GPS] Send module config: mqtt
DEBUG | ??:??:?? 8 [GPS] Send module config: serial
DEBUG | ??:??:?? 8 [GPS] Send module config: ext notification
DEBUG | ??:??:?? 8 [GPS] Send module config: store forward
INFO  | ??:??:?? 8 [GPS] toRadioWriteCb data 0x2002da82, len 31
DEBUG | ??:??:?? 8 [GPS] New ToRadio packet
DEBUG | ??:??:?? 8 [GPS] PACKET FROM PHONE (id=0x006134ec fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=1, HopLim=0 Ch=0x0 Portnum=6 WANTRESP priority=70)
